"","playerID","Player","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","PrimaryTeam","PrimaryLg","all_star","gold_glove","lou_gehrig_memorial_award","most_valuable_player","tsn_player_of_the_year","hutch_award","silver_slugger","hank_aaron_award","rookie_of_the_year","baseball_magazine_all_star","tsn_major_league_player_of_the_year","alcs_mvp","all_star_game_mvp","babe_ruth_award","nlcs_mvp","roberto_clemente_award","world_series_mvp","comeback_player_of_the_year","branch_rickey_award","triple_crown","outstanding_dh_award","wein","votedBy","AVG","OBP","1B","SLG","Steroids","nice_guy_awards","war","all_stars","Pos"
"68","bluelu01","Lu Blue",1615,5904,1151,1696,319,109,44,695,151,NA,1092,436,NA,43,168,NA,NA,"DET","AL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.287,0.393,1224,0.401,"0",0,37.5,0,"1B"
"69","boccajo01","John Boccabella",551,1462,117,320,56,5,26,148,3,7,96,246,20,5,16,16,43,"CHN","NL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.219,0.264,233,0.317,"0",0,-0.3,0,"C"
"70","boggswa01","Wade Boggs",2440,9180,1513,3010,578,61,118,1014,24,35,1412,745,180,23,29,96,236,"BOS","AL",12,2,0,0,0,0,8,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"1","BBWAA",0.328,0.414,2253,0.443,"0",0,91.4,12,"3B"
"71","bondsba01","Barry Bonds",2986,9847,2227,2935,601,77,762,1996,514,141,2558,1539,688,106,4,91,165,"SFN","NL",14,8,0,7,2,0,12,3,"0",0,3,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.298,0.444,1495,0.607,"1",0,162.8,14,"LF"
"72","bondsbo01","Bobby Bonds",1849,7043,1258,1886,302,66,332,1024,461,169,914,1757,75,53,16,64,107,"SFN","NL",3,3,0,0,1,0,0,0,"0",0,0,0,1,0,0,0,0,0,0,0,NA,"0","BBWAA",0.268,0.353,1186,0.471,"0",0,57.8,3,"RF"
"73","bonilbo01","Bobby Bonilla",2113,7213,1084,2010,408,61,287,1173,45,57,912,1204,128,28,5,97,169,"PIT","NL",6,0,0,0,0,0,3,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.279,0.357,1254,0.472,"0",0,30.2,6,"3B"
"74","booneaa01","Aaron Boone",1152,3871,519,1017,216,17,126,555,107,30,303,707,20,80,39,36,74,"CIN","NL",1,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.263,0.323,658,0.425,"0",0,13.6,1,"3B"
"75","boonebo01","Bob Boone",2264,7245,679,1838,303,26,105,826,38,50,663,608,90,20,142,78,191,"PHI","NL",4,7,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.254,0.309,1404,0.346,"0",0,27.4,4,"C"
"76","boonebr01","Bret Boone",1780,6683,927,1775,366,28,252,1021,94,53,552,1295,32,69,55,73,168,"SEA","AL",3,4,0,0,0,0,2,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.266,0.322,1129,0.442,"1",0,22.8,3,"2B"
"77","bottoji01","Jim Bottomley",1991,7471,1177,2313,465,151,219,1422,58,NA,664,591,NA,43,177,NA,NA,"SLN","NL",2,0,0,1,0,0,0,0,"0",2,0,0,0,0,0,0,0,0,0,0,NA,"1","Veterans",0.31,0.361,1478,0.5,"0",0,35.8,0,"1B"
"78","boudrlo01","Lou Boudreau",1646,6029,861,1779,385,66,68,789,51,50,796,309,NA,34,164,NA,NA,"CLE","AL",8,0,0,1,1,0,0,0,"0",0,1,0,0,0,0,0,0,0,0,0,NA,"1","BBWAA",0.295,0.371,1260,0.415,"0",0,63.3,8,"SS"
"79","bowala01","Larry Bowa",2247,8418,987,2191,262,99,15,525,318,105,474,569,45,17,151,43,121,"PHI","NL",5,2,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.26,0.295,1815,0.32,"0",0,22.8,5,"SS"
"80","boyercl02","Clete Boyer",1725,5780,645,1396,200,33,162,654,41,28,470,931,74,25,37,53,136,"NYA","AL",0,1,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.242,0.297,1001,0.372,"0",0,27.6,0,"3B"
"81","boyerke01","Ken Boyer",2034,7455,1104,2143,318,68,282,1141,105,77,713,1017,97,20,17,63,185,"SLN","NL",13,5,1,1,1,0,0,0,"0",0,1,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.287,0.348,1475,0.462,"0",1,62.8,11,"3B"
