"","x","y","eligible","inducted"
"983",83,10,1,0
"984",84,10,1,0
"985",85,10,1,0
"986",86,10,1,0
"987",87,10,1,0
"988",88,10,1,0
"989",89,10,1,0
"990",90,10,1,0
"991",91,10,1,0
"992",92,10,1,0
"993",93,10,1,0
"994",94,10,1,0
"995",95,10,1,0
"996",96,10,1,0
"997",97,10,1,0
"998",98,10,1,0
"999",99,10,1,0
"1000",100,10,1,0
"1001",1,11,0,0
"1002",2,11,0,0
"1003",3,11,0,0
"1004",4,11,0,0
"1005",5,11,0,0
"1006",6,11,0,0
"1007",7,11,0,0
"1008",8,11,0,0
"1009",9,11,0,0
"1010",10,11,0,0
"1011",11,11,0,0
"1012",12,11,0,0
"1013",13,11,0,0
"1014",14,11,0,0
"1015",15,11,0,0
"1016",16,11,0,0
"1017",17,11,0,0
"1018",18,11,0,0
"1019",19,11,0,0
"1020",20,11,0,0
"1021",21,11,0,0
"1022",22,11,0,0
"1023",23,11,0,0
"1024",24,11,0,0
"1025",25,11,0,0
"1026",26,11,0,0
"1027",27,11,0,0
"1028",28,11,0,0
"1029",29,11,0,0
"1030",30,11,0,0
"1031",31,11,0,0
"1032",32,11,0,0
"1033",33,11,0,0
"1034",34,11,0,0
"1035",35,11,0,0
"1036",36,11,0,0
"1037",37,11,0,0
"1038",38,11,0,0
"1039",39,11,0,0
"1040",40,11,0,0
"1041",41,11,0,0
"1042",42,11,0,0
"1043",43,11,0,0
"1044",44,11,0,0
"1045",45,11,0,0
"1046",46,11,0,0
"1047",47,11,0,0
"1048",48,11,0,0
"1049",49,11,0,0
"1050",50,11,0,0
"1051",51,11,0,0
"1052",52,11,0,0
"1053",53,11,0,0
"1054",54,11,0,0
"1055",55,11,0,0
"1056",56,11,0,0
"1057",57,11,0,0
"1058",58,11,0,0
"1059",59,11,0,0
"1060",60,11,0,0
"1061",61,11,0,0
"1062",62,11,0,0
"1063",63,11,0,0
"1064",64,11,0,0
"1065",65,11,0,0
"1066",66,11,0,0
"1067",67,11,0,0
"1068",68,11,0,0
"1069",69,11,0,0
"1070",70,11,0,0
"1071",71,11,0,0
"1072",72,11,0,0
"1073",73,11,0,0
"1074",74,11,0,0
"1075",75,11,0,0
"1076",76,11,0,0
"1077",77,11,0,0
"1078",78,11,0,0
"1079",79,11,0,0
"1080",80,11,0,0
"1081",81,11,0,0
"1082",82,11,0,0
"1083",83,11,0,0
"1084",84,11,0,0
"1085",85,11,0,0
"1086",86,11,0,0
"1087",87,11,0,0
"1088",88,11,0,0
"1089",89,11,0,0
"1090",90,11,0,0
"1091",91,11,0,0
"1092",92,11,0,0
"1093",93,11,0,0
"1094",94,11,0,0
"1095",95,11,0,0
"1096",96,11,0,0
"1097",97,11,0,0
"1098",98,11,0,0
"1099",99,11,0,0
"1100",100,11,0,0
"1101",1,12,0,0
"1102",2,12,0,0
"1103",3,12,0,0
"1104",4,12,0,0
"1105",5,12,0,0
"1106",6,12,0,0
"1107",7,12,0,0
"1108",8,12,0,0
"1109",9,12,0,0
"1110",10,12,0,0
"1111",11,12,0,0
"1112",12,12,0,0
"1113",13,12,0,0
"1114",14,12,0,0
"1115",15,12,0,0
"1116",16,12,0,0
"1117",17,12,0,0
"1118",18,12,0,0
"1119",19,12,0,0
"1120",20,12,0,0
"1121",21,12,0,0
"1122",22,12,0,0
"1123",23,12,0,0
"1124",24,12,0,0
"1125",25,12,0,0
"1126",26,12,0,0
"1127",27,12,0,0
"1128",28,12,0,0
"1129",29,12,0,0
"1130",30,12,0,0
"1131",31,12,0,0
"1132",32,12,0,0
"1133",33,12,0,0
"1134",34,12,0,0
"1135",35,12,0,0
"1136",36,12,0,0
"1137",37,12,0,0
"1138",38,12,0,0
"1139",39,12,0,0
"1140",40,12,0,0
"1141",41,12,0,0
"1142",42,12,0,0
"1143",43,12,0,0
"1144",44,12,0,0
"1145",45,12,0,0
"1146",46,12,0,0
"1147",47,12,0,0
"1148",48,12,0,0
"1149",49,12,0,0
"1150",50,12,0,0
"1151",51,12,0,0
"1152",52,12,0,0
"1153",53,12,0,0
"1154",54,12,0,0
"1155",55,12,0,0
"1156",56,12,0,0
"1157",57,12,0,0
"1158",58,12,0,0
"1159",59,12,0,0
"1160",60,12,0,0
"1161",61,12,0,0
"1162",62,12,0,0
"1163",63,12,0,0
"1164",64,12,0,0
"1165",65,12,0,0
"1166",66,12,0,0
"1167",67,12,0,0
"1168",68,12,0,0
"1169",69,12,0,0
"1170",70,12,0,0
"1171",71,12,0,0
"1172",72,12,0,0
"1173",73,12,0,0
"1174",74,12,0,0
"1175",75,12,0,0
"1176",76,12,0,0
"1177",77,12,0,0
"1178",78,12,0,0
"1179",79,12,0,0
"1180",80,12,0,0
"1181",81,12,0,0
"1182",82,12,0,0
"1183",83,12,0,0
"1184",84,12,0,0
"1185",85,12,0,0
"1186",86,12,0,0
"1187",87,12,0,0
"1188",88,12,0,0
"1189",89,12,0,0
"1190",90,12,0,0
"1191",91,12,0,0
"1192",92,12,0,0
"1193",93,12,0,0
"1194",94,12,0,0
"1195",95,12,0,0
"1196",96,12,0,0
